Component,Difumo_names,Yeo_networks7,Yeo_networks17,GM,WM,CSF,x_mni,y_mni,z_mni
1,Superior frontal sulcus,DefaultB,DefaultA,0.6899956156495173,0.1857091944832086,0.1168844549891865,-2.639437537343966,28.712991365037652,46.6886647194743
2,Fusiform gyrus,No network found,No network found,0.8447325231765037,0.0210264314186208,0.1337885920145591,-0.12786655442293693,-61.882987610887355,-17.884363512432024
3,Calcarine cortex posterior,VisCent,VisPeri,0.601767818274053,0.3020671197728652,0.0912973216275698,1.0446490357373364,-90.87433068473202,1.325612866400661
4,Cingulate cortex posterior,DefaultB,DefaultA,0.7400859593248862,0.1403682852023949,0.1195668910655905,-1.1201058697312192,-54.462474331851894,26.42463139601017
5,Parieto-occipital sulcus superior,ContA,ContC,0.6401569112237818,0.2414921597679687,0.1178255491571258,0.9419766967729686,-60.85236311382559,34.08549845507635
6,Insula antero-superior,SalVentAttnA,SalVentAttnB,0.786372865071193,0.0641708001287409,0.1454907514939756,5.049801295428722,19.48187721354688,1.33758250209452
7,Superior temporal sulcus with angular gyrus,DefaultB,TempPar,0.7289689261090406,0.1935261833400308,0.0760887281183381,48.08290222942702,-39.90656246314525,8.29048236751568
8,Planum temporale,SomMotA,SomMotB,0.6698659209540166,0.1910266837459853,0.1333259830895164,-4.746257693182173,-21.339968744383327,10.090446942684622
9,Cerebellum Crus II,No network found,No network found,0.8185904861148258,0.1338739033486082,0.0454283141378654,-0.5496063743897253,-72.2311132396311,-29.336211451533785
10,Superior parts of Postcentral and Precentral gyri,SomMotA,DorsAttnB,0.3708748845575369,0.0620356909544703,0.1800623844186744,-8.821142938071887,-29.3512824767284,66.68827485510297
11,Transverse sinus,No network found,No network found,0.7683739104554709,0.0239671517048775,0.1895430075970938,-0.6451974955525799,-75.64360212427778,-21.9034770678933
12,Paracentral gyrus RH,SomMotA,SomMotA,0.5306374774591351,0.3479044488382695,0.1176783513756604,42.48920491287328,-24.812798287937667,54.067674636261756
13,Superior occipital gyrus,VisCent,VisPeri,0.5586152516127496,0.286970331837066,0.1186948925240844,0.9440439477855875,-90.12845022867754,29.25194596350117
14,Cingulate gyrus mid-posterior,DefaultB,ContC,0.7452027221344231,0.1145810445197474,0.1401896263361808,-0.14086127475145815,-51.77634937078584,38.148259310209994
15,ventricles,No network found,No network found,0.5967024501902108,0.2403387753233659,0.1629643683986001,-0.864398241684583,-5.265357725303602,16.64124885759051
16,Fusiform gyrus posterior,VisCent,VisCent,0.7626315127910275,0.1665671393414221,0.0681556545797025,-2.5450541635566566,-63.323648134071064,-13.718820936108003
17,Superior frontal gyrus medial,SalVentAttnA,SalVentAttnA,0.6587145979633471,0.0782550049318097,0.2547531180067294,-0.40164833496419305,12.058121478014755,53.30107226790747
18,Precuneus superior,DorsAttnB,ContC,0.5608419562056097,0.0595933700983726,0.2562661761850908,-0.27040507460375807,-67.33209238601061,57.52504139455067
19,Planum polare,SalVentAttnA,SomMotB,0.7553942181635669,0.0331071169214432,0.2060875317942941,4.5825964967070405,-2.468307949951452,2.232195619839999
20,Parieto-occipital sulcus middle,VisCent,VisPeri,0.590863624165701,0.2897505050215277,0.1186559192116607,2.9082011917090256,-75.8727796128039,29.123027949248993
21,Cerebellum I-V,No network found,No network found,0.7930338315508172,0.1813351524184182,0.0256220126561361,0.6041261265185796,-51.862199175631005,-23.924950280613352
22,Superior fornix and isthmus,No network found,DefaultC,0.395778158074814,0.0519283429645922,0.552281473643165,0.370815717784879,-33.28158986750168,4.301306660361874
23,Anterior Cingulate Cortex,DefaultB,SalVentAttnB,0.7826330767531011,0.075669798911679,0.1417165656818135,0.2632806309826776,34.77232005052355,22.15776659984951
24,Descending occipital gyrus,VisCent,VisCent,0.5837077720023389,0.3483014386740513,0.065312198400424,5.753880608497241,-86.13756502218172,15.146937332290776
25,Putamen,No network found,No network found,0.5931855707283495,0.4034573895272537,0.0033452801249732,0.005634757397118051,-3.010602976774919,1.680579330131991
26,Cingulate gyrus mid-anterior,SalVentAttnA,SalVentAttnA,0.772303700700098,0.0508042880306785,0.1659924892724604,-0.014843208383638284,11.416400504016593,27.82242025669221
27,Superior parietal lobule posterior,DorsAttnB,DorsAttnA,0.5043998362415332,0.3680702636995562,0.1228582826923909,4.503529819726353,-65.45792533055858,53.2368743335679
28,Paracentral lobule,SomMotA,SomMotA,0.5512491188435246,0.2066307061211087,0.2400349479941379,0.2966646107239086,-30.917007804488918,65.10854701751418
29,Inferior occipital gyrus,VisCent,VisCent,0.7043430949025989,0.173842481888573,0.1135384310007106,0.6541838055074152,-82.63470238212619,-15.396826973128803
30,Superior rostral gyrus,DefaultB,DefaultA,0.7114906786836716,0.1230441006914581,0.1651268855351415,-1.1011010783290374,50.87622529062861,-1.4217220158200234
31,Calcarine sulcus anterior,VisCent,VisPeri,0.6476085370553737,0.2696874404617153,0.0827182393802719,-0.2855210309846683,-71.39521177280861,6.5519360091699355
32,Intraparietal sulcus,ContA,ContA,0.5693918564795319,0.3001043955773281,0.1178261829995428,-22.5299311942927,-63.212811319522345,47.311203598283086
33,Superior parietal lobule anterior,DorsAttnB,DorsAttnB,0.5412361847054944,0.2873620626959838,0.1585224337320808,1.6364400961963668,-48.87241351503209,63.92750979070286
34,Precentral gyrus medial,SomMotA,SomMotA,0.6957010600766079,0.1079851343716616,0.1957361672527799,0.010791350180554105,-5.957809411383494,52.35079431151172
35,Lingual gyrus anterior,VisCent,VisPeri,0.7269870145572547,0.1399737720526898,0.1330436521567403,0.7563447696233396,-54.44911435288401,0.6002917850618701
36,Angular gyrus superior,DefaultB,ContB,0.6298989525514879,0.2489434524987972,0.0756150580845466,31.733138012937786,-57.978143351186006,42.170970970704644
37,Supramarginal gyrus,SalVentAttnA,SalVentAttnA,0.669210546049001,0.2181850578461736,0.0939156158227002,7.855295355117249,-29.387336517805963,28.1754660547884
38,Intraparietal sulcus LH,DorsAttnB,ContA,0.6485994210271274,0.2448249890315309,0.101234863789752,-44.46638608876962,-26.66206112798234,40.71421389578582
39,Dorsomedial prefrontal cortex antero-superior,DefaultB,DefaultB,0.6610478527992755,0.0975733527166221,0.1836229867114952,-2.7861460851763127,57.39611770505067,23.215370908197116
40,Precentral gyrus superior,DorsAttnB,DorsAttnB,0.6771399895005467,0.1874167524450676,0.1295334536765136,0.540353208627252,-2.857980058029824,56.56289851647358
41,Postcentral gyrus inferior,SomMotA,SomMotB,0.60867859046762,0.301389160415576,0.0825451094879955,6.4354883642348,-6.740748577296941,27.659727885390055
42,Lateral occipital cortex,VisCent,DorsAttnA,0.6754441048376052,0.2577960757168984,0.0627051454556781,12.873549928923254,-67.94299235490575,8.273832680169647
43,Callosomarginal sulcus,SalVentAttnA,SalVentAttnA,0.7124384267631213,0.1020500742802062,0.1854957713081448,-0.357562998847726,-32.46325785130678,48.92756592849112
44,Paracentral lobule superior,SomMotA,SomMotA,0.4104475102908392,0.1087430193618986,0.1673912499125893,0.2688715018475989,-23.55130413693425,76.76773220291528
45,Heschlâ€™s gyrus,SomMotA,SomMotB,0.7821268842181827,0.1122698943139412,0.1055823815921187,-0.6663050244885227,-20.56273962663252,16.820606078035993
46,Occipital pole,VisCent,VisCent,0.535773659879796,0.402950397336576,0.0532826987450081,-1.914737084934913,-95.82090521266338,-1.237265332835534
47,Thalamus,No network found,No network found,0.6185663653774784,0.3802299725157343,0.0012022218078445,-0.7009521596323793,-16.8817279252453,7.154913612943886
48,Intraparietal sulcus RH,ContA,ContA,0.5997709338038602,0.2719286447504117,0.1173014005651072,46.529065676964706,-44.02665094504222,46.69727215585151
49,Inferior frontal sulcus,ContA,ContA,0.6967749806267944,0.1811997071473773,0.1086852823111662,41.88271687701584,17.705275600914632,25.62067172086796
50,Postcentral gyrus LH,SomMotA,DorsAttnB,0.5750142348504108,0.2741632333019057,0.1446144109989416,-43.862589176504045,-28.676526173855052,52.75071810605124
51,Middle frontal gyrus,ContA,ContB,0.634080785438416,0.117309763410054,0.1243687086649586,40.378723570321625,33.16157568843158,31.297905418096775
52,Inferior frontal gyrus,ContA,ContA,0.6554008371438979,0.1519631086037174,0.1170491459801306,-46.354661395491846,36.125897402802195,17.048926751241822
53,Parieto-occipital sulcus anterior,DefaultB,DefaultC,0.7549459134697601,0.1518969870157014,0.0931569427677387,-1.3213140571091486,-59.31051817403315,16.78125654405227
54,Precuneus anterior,DorsAttnB,ContC,0.6754451295526557,0.1362442468431387,0.1882291321365019,0.6194342452513268,-48.44671946907094,49.16899311722929
55,Lingual gyrus,VisCent,VisCent,0.7438535551663615,0.1931304053324481,0.0630042565665998,1.7868598900763715,-67.63102099370066,-8.8102044940958
56,Superior occipital sulcus,DorsAttnB,DorsAttnA,0.5995764632204793,0.3054865039224081,0.0939457923282807,3.5395253821127426,-74.17837334642243,34.41186096036087
57,Superior parietal lobule,DorsAttnB,DorsAttnA,0.4876095585510654,0.0863164293829004,0.1864089160558805,4.242845204163828,-67.0290945399802,59.54596132287105
58,Middle frontal gyrus anterior,SalVentAttnA,SalVentAttnB,0.6729320874829101,0.2356110290571989,0.0740245617827219,1.8512459242044628,46.509637748697685,26.13781379175856
59,Angular gyrus inferior,DefaultB,DefaultA,0.6902203060500681,0.1948425308650681,0.0919302488700981,-31.4303184438629,-66.13822546247717,32.2865058513857
60,Cuneus,VisCent,VisPeri,0.627179410741292,0.2697833373836366,0.1030049129021703,1.4795217722297878,-79.81259423370489,15.213718134419793
61,Middle temporal gyrus,DefaultB,DefaultB,0.7265271565310462,0.1495954051145884,0.1073286382435579,-55.365104726722535,-12.290321899379364,-1.2797303927770542
62,Superior frontal gyrus,DefaultB,DefaultB,0.6511819207551668,0.0622429964460329,0.2240668937880465,-7.714086594803135,33.925465343683186,47.33525543565534
63,Central sulcus,SomMotA,SomMotB,0.578501636243708,0.291674172705374,0.1092435133440123,-6.731704333622318,-11.828799250118564,43.31216151623397
64,Caudate,No network found,No network found,0.7032945994194562,0.2603862774108158,0.0363317667726751,0.019482105939005123,13.19515048414948,1.547238200600276
